geneID,num_ERP,num_ERP_flag_analyzable,num_ERP_unbiased,num_ERP_F_limited,num_ERP_M_limited,num_ERP_F_bias,num_ERP_M_bias,flag_F_readCnt0,flag_M_readCnt0,F_total_readCnt,M_total_readCnt,flag_gene_expressed_readCnt10
FBgn0003274,2,2.0,0,0,0,2,0,1,1,77103.0,49493.0,1
FBgn0003275,3,2.0,2,0,0,0,0,1,1,3665.0,3502.0,1
FBgn0003277,15,6.0,5,0,0,1,0,1,1,974.0,724.0,1
FBgn0003278,6,3.0,3,0,0,0,0,1,1,310.0,282.0,1
FBgn0003279,22,11.0,3,0,0,8,0,1,1,71271.0,46665.0,1
FBgn0003285,17,3.0,3,0,0,0,0,1,1,293.0,233.0,1
FBgn0003292,14,2.0,2,0,0,0,0,1,1,287.0,391.0,1
FBgn0003295,8,4.0,2,0,0,0,2,1,1,119.0,294.0,1
FBgn0003300,5,1.0,0,0,0,0,0,1,1,26.0,25.0,1
FBgn0003301,85,5.0,3,0,0,0,2,1,1,1571.0,2184.0,1
FBgn0003302,4,2.0,2,0,0,0,0,1,1,296.0,386.0,1
FBgn0003308,13,4.0,4,0,0,0,0,1,1,2068.0,2136.0,1
FBgn0003310,11,3.0,2,0,0,0,1,1,1,448.0,544.0,1
FBgn0003312,9,1.0,0,0,0,0,0,1,1,58.0,63.0,1
FBgn0003313,4,0.0,0,0,0,0,0,1,1,14.0,15.0,1
FBgn0003317,24,6.0,6,0,0,0,0,1,1,616.0,707.0,1
FBgn0003319,12,4.0,4,0,0,0,0,1,1,532.0,628.0,1
FBgn0003321,55,11.0,9,0,0,0,2,1,1,1896.0,2391.0,1
FBgn0003326,11,2.0,2,0,0,0,0,1,1,244.0,454.0,1
FBgn0003330,6,1.0,1,0,0,0,0,1,1,511.0,626.0,1
FBgn0003334,9,3.0,3,0,0,0,0,1,1,573.0,712.0,1
FBgn0003339,8,2.0,2,0,0,0,0,1,1,189.0,214.0,1
FBgn0003345,78,10.0,10,0,0,0,0,1,1,1852.0,2277.0,1
FBgn0003346,17,4.0,4,0,0,0,0,1,1,199.0,243.0,1
FBgn0003353,65,17.0,16,0,0,0,1,1,1,934.0,1322.0,1
FBgn0003356,1,1.0,0,0,0,0,0,1,1,6.0,34.0,1
FBgn0003357,1,1.0,0,0,0,0,0,1,1,45.0,53.0,1
FBgn0003358,1,0.0,0,0,0,0,0,1,1,7.0,7.0,1
FBgn0003360,47,19.0,19,0,0,0,0,1,1,143706.0,141877.0,1
FBgn0003366,38,6.0,6,0,0,0,0,1,1,2576.0,2979.0,1
FBgn0003371,220,20.0,18,0,0,0,2,1,1,3744.0,4893.0,1
FBgn0003372,4,0.0,0,0,0,0,0,0,1,0.0,7.0,0
FBgn0003374,3,0.0,0,0,0,0,0,0,1,0.0,12.0,1
FBgn0003377,1,0.0,0,0,0,0,0,0,1,0.0,3.0,0
FBgn0003378,1,0.0,0,0,0,0,0,0,1,0.0,3.0,0
FBgn0003380,309,28.0,26,0,0,0,2,1,1,8633.0,12800.0,1
FBgn0003382,5,0.0,0,0,0,0,0,1,1,12.0,7.0,1
FBgn0003386,74,5.0,4,0,0,0,1,1,1,1942.0,3192.0,1
FBgn0003388,13,1.0,1,0,0,0,0,1,1,110.0,90.0,1
FBgn0003390,36,11.0,11,0,0,0,0,1,1,680.0,1104.0,1
FBgn0003391,5,3.0,3,0,0,0,0,1,1,1619.0,2034.0,1
FBgn0003392,248,44.0,39,0,0,0,5,1,1,5911.0,8403.0,1
FBgn0003396,50,11.0,11,0,0,0,0,1,1,1083.0,1208.0,1
FBgn0003401,4,0.0,0,0,0,0,0,1,1,4.0,5.0,0
FBgn0003410,6,3.0,2,0,0,0,1,1,1,854.0,1135.0,1
FBgn0003411,1,0.0,0,0,0,0,0,1,0,6.0,0.0,0
FBgn0003415,61,7.0,7,0,0,0,0,1,1,2721.0,3663.0,1
FBgn0003416,11,1.0,1,0,0,0,0,1,1,138.0,187.0,1
FBgn0003423,128,21.0,17,0,0,2,2,1,1,5491.0,7142.0,1
FBgn0003429,445,21.0,20,0,0,1,0,1,1,5890.0,6282.0,1
FBgn0003430,2,1.0,0,0,0,0,1,1,1,293.0,516.0,1
FBgn0003435,242,18.0,15,0,0,0,3,1,1,4704.0,6637.0,1
FBgn0003444,13,4.0,3,0,0,1,0,1,1,399.0,360.0,1
FBgn0003447,42,10.0,10,0,0,0,0,1,1,2228.0,2428.0,1
FBgn0003448,1,0.0,0,0,0,0,0,0,1,0.0,1.0,0
FBgn0003449,5,2.0,2,0,0,0,0,1,1,2503.0,1973.0,1
FBgn0003450,3,0.0,0,0,0,0,0,1,1,15.0,31.0,1
FBgn0003459,4,2.0,2,0,0,0,0,1,1,170.0,227.0,1
FBgn0003460,11,1.0,1,0,0,0,0,1,1,135.0,242.0,1
FBgn0003462,6,5.0,5,0,0,0,0,1,1,50219.0,55689.0,1
FBgn0003463,32,5.0,4,0,0,0,1,1,1,3751.0,5205.0,1
FBgn0003464,30,8.0,8,0,0,0,0,1,1,619.0,839.0,1
FBgn0003475,5,4.0,3,0,0,0,1,1,1,2823.0,3953.0,1
FBgn0003479,3,3.0,2,0,0,0,1,1,1,272.0,417.0,1
FBgn0003480,9,3.0,2,0,0,0,1,1,1,159.0,182.0,1
FBgn0003482,8,0.0,0,0,0,0,0,1,1,13.0,59.0,1
FBgn0003483,9,0.0,0,0,0,0,0,1,1,15.0,29.0,1
FBgn0003486,2,0.0,0,0,0,0,0,1,1,11.0,10.0,1
FBgn0003495,57,11.0,11,0,0,0,0,1,1,2089.0,2562.0,1
FBgn0003499,38,2.0,1,0,0,0,1,1,1,516.0,813.0,1
FBgn0003502,49,7.0,7,0,0,0,0,1,1,973.0,872.0,1
FBgn0003507,50,8.0,5,0,0,3,0,1,1,1278.0,831.0,1
FBgn0003510,3,2.0,2,0,0,0,0,1,1,197.0,288.0,1
FBgn0003512,2,1.0,1,0,0,0,0,1,1,337.0,382.0,1
FBgn0003513,22,3.0,3,0,0,0,0,1,1,261.0,434.0,1
FBgn0003514,11,5.0,5,0,0,0,0,1,1,6960.0,8381.0,1
FBgn0003515,15,5.0,5,0,0,0,0,1,1,266.0,233.0,1
FBgn0003517,11,4.0,1,0,0,3,0,1,1,38275.0,23895.0,1
FBgn0003520,44,9.0,9,0,0,0,0,1,1,3132.0,4897.0,1
FBgn0003525,2,1.0,1,0,0,0,0,1,1,59.0,41.0,1
FBgn0003557,25,4.0,4,0,0,0,0,1,1,1054.0,1262.0,1
FBgn0003559,47,10.0,9,0,0,1,0,1,1,882.0,1033.0,1
FBgn0003567,19,2.0,2,0,0,0,0,1,1,358.0,384.0,1
FBgn0003575,19,3.0,2,0,0,0,1,1,1,570.0,698.0,1
FBgn0003598,16,5.0,5,0,0,0,0,1,1,394.0,441.0,1
FBgn0003607,21,5.0,5,0,0,0,0,1,1,3027.0,3261.0,1
FBgn0003612,51,4.0,4,0,0,0,0,1,1,696.0,723.0,1
FBgn0003638,56,15.0,14,0,0,1,0,1,1,2369.0,2506.0,1
FBgn0003651,16,6.0,6,0,0,0,0,1,1,1146.0,1082.0,1
FBgn0003654,159,13.0,12,0,0,0,1,1,1,1656.0,1974.0,1
FBgn0003655,7,3.0,2,0,0,0,1,1,1,473.0,958.0,1
FBgn0003656,75,9.0,8,0,0,1,0,1,1,1759.0,1688.0,1
FBgn0003660,38,13.0,10,0,0,2,1,1,1,8742.0,7524.0,1
FBgn0003676,11,4.0,3,0,0,1,0,1,1,1122.0,938.0,1
FBgn0003683,1,0.0,0,0,0,0,0,1,1,3.0,2.0,0
FBgn0003687,4,3.0,2,0,0,1,0,1,1,601.0,528.0,1
FBgn0003701,4,1.0,0,0,0,0,0,1,1,31.0,64.0,1
FBgn0003710,7,3.0,2,0,0,0,1,1,1,707.0,1184.0,1
FBgn0003714,4,2.0,0,0,0,2,0,1,1,2682.0,1975.0,1
FBgn0003716,21,6.0,6,0,0,0,0,1,1,1942.0,2095.0,1
FBgn0003719,11,2.0,1,0,0,1,0,1,1,126.0,112.0,1
FBgn0003721,253,24.0,20,0,0,4,0,1,1,10902.0,11385.0,1
FBgn0003731,17,6.0,4,0,0,2,0,1,1,2181.0,1485.0,1
FBgn0003733,2,0.0,0,0,0,0,0,1,0,3.0,0.0,0
FBgn0003741,5,2.0,2,0,0,0,0,1,1,559.0,421.0,1
FBgn0003742,24,6.0,5,0,0,0,1,1,1,814.0,881.0,1
FBgn0003744,19,5.0,5,0,0,0,0,1,1,1150.0,1531.0,1
FBgn0003747,10,0.0,0,0,0,0,0,1,1,12.0,14.0,1
