geneID,num_UJC,num_UJC_flag_analyzable,num_UJC_unbiased,num_UJC_F_limited,num_UJC_M_limited,num_UJC_F_bias,num_UJC_M_bias,flag_F_readCnt0,flag_M_readCnt0,F_total_readCnt,M_total_readCnt,flag_gene_expressed_readCnt10
FBgn0036333,13,1,1,0,0,0,0,1,1,755,962,1
FBgn0036334,227,8,5,0,0,3,0,1,1,10673,7865,1
FBgn0036335,75,4,4,0,0,0,0,1,1,1523,1534,1
FBgn0036336,46,3,3,0,0,0,0,1,1,534,484,1
FBgn0036337,350,12,9,0,0,1,2,1,1,12026,13084,1
FBgn0036340,24,2,2,0,0,0,0,1,1,530,869,1
FBgn0036341,66,4,4,0,0,0,0,1,1,1410,1630,1
FBgn0036342,15,2,1,0,0,1,0,1,1,692,624,1
FBgn0036343,1,0,0,0,0,0,0,1,0,1,0,0
FBgn0036345,2,0,0,0,0,0,0,1,0,2,0,0
FBgn0036348,15,2,1,0,0,1,0,1,1,228,84,1
FBgn0036349,1,0,0,0,0,0,0,1,0,2,0,0
FBgn0036350,1,0,0,0,0,0,0,1,0,1,0,0
FBgn0036351,1,0,0,0,0,0,0,1,0,6,0,0
FBgn0036352,1,0,0,0,0,0,0,1,0,4,0,0
FBgn0036353,185,6,5,0,0,1,0,1,1,1105,1168,1
FBgn0036354,5,1,0,0,0,0,0,1,1,14,27,1
FBgn0036356,17,1,1,0,0,0,0,1,1,289,234,1
FBgn0036359,148,7,6,0,0,0,1,1,1,2698,3128,1
FBgn0036360,22,1,1,0,0,0,0,1,1,74,134,1
FBgn0036362,1,0,0,0,0,0,0,1,0,1,0,0
FBgn0036363,5,0,0,0,0,0,0,1,1,1,19,1
FBgn0036364,141,6,5,0,0,1,0,1,1,3453,3748,1
FBgn0036365,103,8,8,0,0,0,0,1,1,562,669,1
FBgn0036366,11,1,1,0,0,0,0,1,1,742,675,1
FBgn0036367,5,0,0,0,0,0,0,1,1,18,31,1
FBgn0036368,35,2,2,0,0,0,0,1,1,114,160,1
FBgn0036369,72,5,4,0,0,0,1,1,1,351,635,1
FBgn0036372,90,6,4,0,0,0,2,1,1,887,1289,1
FBgn0036373,36,3,3,0,0,0,0,1,1,740,983,1
FBgn0036374,47,2,2,0,0,0,0,1,1,205,290,1
FBgn0036376,31,3,2,0,0,1,0,1,1,742,766,1
FBgn0036377,16,2,2,0,0,0,0,1,1,598,1096,1
FBgn0036380,22,2,2,0,0,0,0,1,1,100,159,1
FBgn0036381,106,5,4,0,0,0,1,1,1,1749,3700,1
FBgn0036382,30,3,2,0,0,0,1,1,1,189,279,1
FBgn0036386,15,3,3,0,0,0,0,1,1,270,304,1
FBgn0036389,131,6,5,0,0,0,1,1,1,942,1356,1
FBgn0036390,9,1,0,0,0,0,0,1,1,42,46,1
FBgn0036391,31,4,4,0,0,0,0,1,1,354,532,1
FBgn0036393,1,0,0,0,0,0,0,1,0,5,0,0
FBgn0036394,1,0,0,0,0,0,0,1,0,3,0,0
FBgn0036395,4,1,1,0,0,0,0,1,1,313,365,1
FBgn0036396,4,1,1,0,0,0,0,1,1,116,130,1
FBgn0036397,85,3,3,0,0,0,0,1,1,368,483,1
FBgn0036398,192,9,8,0,0,0,1,1,1,1630,2489,1
FBgn0036402,128,6,6,0,0,0,0,1,1,649,614,1
FBgn0036403,4,1,1,0,0,0,0,1,1,227,342,1
FBgn0036405,6,1,1,0,0,0,0,1,1,462,398,1
FBgn0036406,10,2,2,0,0,0,0,1,1,701,847,1
FBgn0036410,2,0,0,0,0,0,0,1,1,4,9,1
FBgn0036411,4,1,0,0,0,0,0,1,1,26,23,1
FBgn0036414,13,0,0,0,0,0,0,1,1,15,22,1
